#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
-290.118083,1000,0.4547
-164.293787,1000,1.429114
-263.817783,1000,2.471937
-345.874132,1000,3.609113
-147.552513,1000,4.751775
-202.323893,1000,6.038072
-259.457877,1000,7.322684
-274.400255,1000,8.430862
-338.349288,1000,9.535017
-220.324991,1000,10.631278
-260.512312,1000,11.794853
-223.199365,1000,13.056957
-306.56728,1000,14.278147
-307.640382,1000,15.403854
-202.698595,1000,16.486659
-133.944526,1000,17.529984
-130.804383,1000,18.718791
-199.591692,1000,19.858459
-244.668497,1000,21.15609
-304.360421,1000,22.268006
-289.073859,1000,23.638518
-428.167533,1000,24.773225
-253.40134,1000,25.898654
-314.46636,1000,27.022507
-199.077783,1000,28.139848
-222.549392,1000,29.517009
-216.25856,1000,30.793513
-242.953915,1000,31.874065
-398.073498,1000,32.997476
-111.153052,1000,34.16872
-220.707849,1000,35.3974
-180.29936,1000,36.735961
-162.704151,1000,37.952339
-230.294062,1000,39.14501
-342.100861,1000,40.34905
-274.143617,1000,41.514399
-219.970799,1000,42.679712
-302.208278,1000,43.754663
-257.842517,1000,44.946596
-209.684067,1000,46.145815
-324.525524,1000,47.469145
-307.818262,1000,48.645186
-212.903455,1000,49.753865
-217.578529,1000,50.940659
-242.717491,1000,52.130856
-153.076622,1000,53.307692
-235.540294,1000,54.513946
-250.023369,1000,55.564183
-246.880381,1000,56.859818
-244.35911,1000,58.001556
-270.9524,1000,59.253693
-229.386742,1000,60.409114
-185.722664,1000,61.569998
-269.531996,1000,62.743888
-243.451987,1000,63.91866
-236.097306,1000,65.079023
-241.499021,1000,66.325646
-267.732378,1000,67.569195
-316.333979,1000,68.82402
-293.543416,1000,69.971702
-282.512272,1000,71.259996
-263.454282,1000,72.716837
-246.549041,1000,73.894743
-224.01622,1000,75.065445
-259.577041,1000,76.19228
-245.717801,1000,77.393568
-123.47706,1000,78.552067
-235.740485,1000,79.475207
-292.889593,1000,80.673261
-219.758719,1000,81.860682
-242.571498,1000,83.129267
-249.403832,1000,84.393651
-232.109048,1000,85.861151
-188.371004,1000,87.049562
-258.133209,1000,88.224624
-277.296933,1000,89.400994
-186.359044,1000,90.609975
-232.836802,1000,91.819815
-209.865338,1000,93.052971
-205.12803,1000,94.243621
-246.483534,1000,95.381874
-229.723006,1000,96.694368
-200.281044,1000,97.860691
-163.594311,1000,99.004274
-253.017245,1000,100.338301
-213.219681,1000,101.579397
-235.960273,1000,102.802852
-265.687381,1000,103.979738
-233.585643,1000,105.173104
-214.288159,1000,106.373843
-178.533192,1000,107.779258
-240.146187,1000,109.012269
-213.149545,1000,110.230897
-214.6787,1000,111.317441
-221.949727,1000,112.570501
-145.027465,1000,113.769635
-188.118776,1000,114.957321
-186.664048,1000,116.124363
-176.364652,1000,117.302202
-201.393147,1000,118.463177
-222.599202,1000,119.790103
-170.504614,1000,121.001376
-175.125175,1000,122.188923
-205.787464,1000,123.267406
-145.800747,1000,124.641229
-166.603199,1000,125.818644
-165.99648,1000,126.990037
-215.482717,1000,128.143986
-215.568123,1000,129.254594
-306.612665,1000,130.421558
-216.185357,1000,131.629262
-190.88822,1000,132.887181
-174.090168,1000,134.063677
-190.244914,1000,135.232588
-101.192054,1000,136.447696
-93.798483,1000,137.74402
-151.490524,1000,139.073614
-100.365409,1000,140.390914
-149.175632,1000,141.61666
-164.509951,1000,142.775948
-136.283318,1000,144.058565
-141.717193,1000,145.29705
-155.47294,1000,146.444786
-158.388798,1000,147.68472
-152.530203,1000,148.868146
-138.089692,1000,150.029831
-200.771645,1000,151.190667
-150.055127,1000,152.35568
-159.268821,1000,153.370142
-185.188564,1000,154.45106
-139.73148,1000,155.892392
-86.711009,1000,156.934266
-82.074719,1000,158.105723
-175.304512,1000,159.268007
-93.292817,1000,160.521159
-97.619734,1000,161.528198
-81.805486,1000,162.860951
-109.255285,1000,164.189563
-62.934704,1000,165.499573
-112.471492,1000,166.602114
-117.174132,1000,167.672287
-42.22672,1000,168.875808
-72.366872,1000,170.200991
-187.235123,1000,171.389816
-142.851302,1000,172.551449
-127.444736,1000,173.782397
-43.850245,1000,174.901942
-89.706375,1000,176.064337
-221.455138,1000,177.278101
-79.016305,1000,178.516132
-116.514625,1000,179.799312
-96.650117,1000,180.950592
-90.565442,1000,182.016445
-118.144074,1000,183.263462
-70.426014,1000,184.443878
-97.322523,1000,185.570708
-55.949097,1000,186.855921
-167.829699,1000,188.131374
-160.667354,1000,189.45108
-106.678382,1000,190.760943
-284.419944,1000,191.97588
-147.236566,1000,193.147561
-408.704472,1000,194.556192
-183.041438,1000,195.783786
-378.358986,1000,197.001849
-140.030156,1000,198.232511
-86.084924,1000,199.378359
-59.844648,1000,200.550256
-3.967103,1000,201.731365
-130.416255,1000,202.895281
-104.97064,1000,204.079646
-58.620643,1000,205.391088
-251.998845,1000,206.653746
-52.670527,1000,207.766471
-32.238849,1000,208.971111
-100.733791,1000,210.23735
42.333817,1000,211.555248
-45.375971,1000,212.669951
-48.95225,1000,213.903233
-37.20596,1000,215.111137
73.962978,1000,216.162596
-98.283773,1000,217.480338
57.574776,1000,218.618922
68.565135,1000,219.78841
37.425142,1000,220.961898
85.243572,1000,222.129583
-153.943238,1000,223.31043
-14.659347,1000,224.483569
-1.390672,1000,225.813065
21.06484,1000,226.996932
74.177359,1000,228.248032
83.048005,1000,229.530126
229.107234,1000,230.788069
77.813484,1000,231.692339
110.461666,1000,232.675312
121.642428,1000,233.898009
-49.936918,1000,235.072794
177.21687,1000,236.305667
152.790017,1000,237.523827
69.649692,1000,238.653271
92.691968,1000,239.933903
260.010895,1000,241.190934
297.562153,1000,242.37305
142.228964,1000,243.468624
406.669624,1000,244.664297
274.703864,1000,245.711431
166.8598,1000,247.058576
149.733305,1000,248.251288
184.381537,1000,249.472187
126.015986,1000,250.688839
210.009826,1000,251.847403
245.661927,1000,253.081254
297.088011,1000,254.332794
298.832694,1000,255.633255
187.624973,1000,256.820106
138.330432,1000,258.144271
210.362902,1000,259.342126
313.464862,1000,260.523409
373.053694,1000,261.716874
348.391597,1000,262.948936
238.039214,1000,264.216805
235.19417,1000,265.373537
356.581494,1000,266.537933
310.143269,1000,267.722074
319.71731,1000,268.880862
238.41781,1000,270.07024
420.217771,1000,271.282403
386.558174,1000,272.432692
582.518578,1000,273.650726
384.496918,1000,274.862203
499.501537,1000,276.057706
507.374954,1000,277.214285
504.303955,1000,278.499201
360.916293,1000,279.816453
378.877272,1000,281.08853
438.932361,1000,282.252426
272.976054,1000,283.527612
475.788437,1000,284.843805
483.917701,1000,285.98383
393.575743,1000,287.168868
434.730743,1000,288.338537
300.414831,1000,289.509224
429.359005,1000,290.719182
621.807249,1000,291.896597
338.047229,1000,293.082291
461.998615,1000,294.406249
356.843723,1000,295.690964
189.124371,1000,296.89147
426.040511,1000,298.203502
373.837957,1000,299.355082
352.898298,1000,300.504041
265.753863,1000,301.848609
253.778493,1000,303.043077
396.985084,1000,304.171352
362.752872,1000,305.083357
361.746958,1000,306.314448
-99.0951,1000,307.570716
235.942455,1000,309.09184
116.208158,1000,310.216568
-14.418217,1000,311.375569
521.770863,1000,312.560372
373.369255,1000,313.734463
201.953652,1000,314.981969
