timesteps,episode_return
1000,-290.118083
2000,-164.293787
3000,-263.817783
4000,-345.874132
5000,-147.552513
6000,-202.323893
7000,-259.457877
8000,-274.400255
9000,-338.349288
10000,-220.324991
11000,-260.512312
12000,-223.199365
13000,-306.56728
14000,-307.640382
15000,-202.698595
16000,-133.944526
17000,-130.804383
18000,-199.591692
19000,-244.668497
20000,-304.360421
21000,-289.073859
22000,-428.167533
23000,-253.40134
24000,-314.46636
25000,-199.077783
26000,-222.549392
27000,-216.25856
28000,-242.953915
29000,-398.073498
30000,-111.153052
31000,-220.707849
32000,-180.29936
33000,-162.704151
34000,-230.294062
35000,-342.100861
36000,-274.143617
37000,-219.970799
38000,-302.208278
39000,-257.842517
40000,-209.684067
41000,-324.525524
42000,-307.818262
43000,-212.903455
44000,-217.578529
45000,-242.717491
46000,-153.076622
47000,-235.540294
48000,-250.023369
49000,-246.880381
50000,-244.35911
51000,-270.9524
52000,-229.386742
53000,-185.722664
54000,-269.531996
55000,-243.451987
56000,-236.097306
57000,-241.499021
58000,-267.732378
59000,-316.333979
60000,-293.543416
61000,-282.512272
62000,-263.454282
63000,-246.549041
64000,-224.01622
65000,-259.577041
66000,-245.717801
67000,-123.47706
68000,-235.740485
69000,-292.889593
70000,-219.758719
71000,-242.571498
72000,-249.403832
73000,-232.109048
74000,-188.371004
75000,-258.133209
76000,-277.296933
77000,-186.359044
78000,-232.836802
79000,-209.865338
80000,-205.12803
81000,-246.483534
82000,-229.723006
83000,-200.281044
84000,-163.594311
85000,-253.017245
86000,-213.219681
87000,-235.960273
88000,-265.687381
89000,-233.585643
90000,-214.288159
91000,-178.533192
92000,-240.146187
93000,-213.149545
94000,-214.6787
95000,-221.949727
96000,-145.027465
97000,-188.118776
98000,-186.664048
99000,-176.364652
100000,-201.393147
101000,-222.599202
102000,-170.504614
103000,-175.125175
104000,-205.787464
105000,-145.800747
106000,-166.603199
107000,-165.99648
108000,-215.482717
109000,-215.568123
110000,-306.612665
111000,-216.185357
112000,-190.88822
113000,-174.090168
