#{"t_start": 1777197052.5872521, "env_id": "Reacher-v4"}
r,l,t
-63.920168,50,0.353613
-55.271234,50,0.366739
-66.809456,50,0.380833
-62.850277,50,0.394339
-63.150983,50,0.407719
-71.118618,50,0.421131
-66.185284,50,0.43484
-60.339893,50,0.448438
-58.023031,50,0.461321
-71.508485,50,0.474055
-61.74707,50,0.486841
-58.212045,50,0.500161
-61.324986,50,0.513247
-59.14003,50,0.526354
-60.006037,50,0.540015
-59.363995,50,0.552972
-68.252438,50,0.565856
-57.84521,50,0.578978
-64.658839,50,0.59212
-67.796506,50,0.60561
-56.784377,50,0.619051
-59.82108,50,0.632074
-60.479388,50,0.645919
-56.961614,50,0.660447
-58.11046,50,0.673806
-61.376298,50,0.68752
-57.006327,50,0.700647
-64.387822,50,0.713742
-56.978039,50,0.727556
-54.924764,50,0.740924
-57.077717,50,0.754476
-59.926368,50,0.767685
-59.303498,50,0.781177
-53.138881,50,0.794451
-56.425528,50,0.808064
-62.198084,50,0.821217
-58.92802,50,0.834534
-63.685561,50,0.847896
-66.653602,50,0.86102
-65.038303,50,0.874007
-62.808659,50,1.47641
-58.259337,50,1.501029
-56.577379,50,1.519433
-68.205182,50,1.533304
-57.147316,50,1.547031
-53.797778,50,1.560283
-64.111194,50,1.573568
-47.292786,50,1.586865
-63.528365,50,1.600073
-53.07225,50,1.613292
-64.301421,50,1.626602
-59.371858,50,1.63972
-63.082866,50,1.653403
-58.5541,50,1.666757
-60.522053,50,1.680065
-58.444892,50,1.693284
-57.516702,50,1.706452
-59.46983,50,1.719635
-72.686542,50,1.732771
-66.403424,50,1.746445
-59.202304,50,1.759511
-53.273935,50,1.772634
-55.078289,50,1.785897
-59.218513,50,1.799091
-57.57553,50,1.812093
-58.615566,50,1.82538
-57.814913,50,1.838689
-65.672982,50,1.852138
-55.536136,50,1.865425
-63.937053,50,1.878742
-57.911899,50,1.892003
-63.137054,50,1.905117
-64.682305,50,1.918287
-59.047298,50,1.93169
-69.773859,50,1.945326
-53.125688,50,1.958343
-59.855316,50,1.9715
-65.895183,50,1.984501
-53.921262,50,1.997595
-59.75085,50,2.010907
-54.37785,50,2.024376
-63.281164,50,2.459303
-54.082828,50,2.472125
-57.221963,50,2.484776
-60.506206,50,2.49808
-64.347535,50,2.511236
-66.478138,50,2.524322
-55.896503,50,2.537773
-50.535566,50,2.551979
-62.723657,50,2.56532
-61.165957,50,2.578655
-61.088306,50,2.591982
-58.424021,50,2.605146
-59.346348,50,2.618365
-63.590683,50,2.631451
-51.543468,50,2.644547
-61.929016,50,2.658024
-59.257652,50,2.671258
-55.062249,50,2.684533
-65.6444,50,2.697625
-51.895565,50,2.710737
-62.407358,50,2.723896
-60.056422,50,2.73708
-57.908746,50,2.75097
-62.299111,50,2.764163
-53.809466,50,2.777026
-53.632828,50,2.789921
-54.092126,50,2.802748
-55.642476,50,2.815515
-57.807287,50,2.828368
-63.364735,50,2.841215
-65.261618,50,2.854971
-65.169752,50,2.868021
-64.603195,50,2.88107
-59.313458,50,2.893819
-65.263831,50,2.906801
-64.913664,50,2.919757
-57.547993,50,2.932936
-63.783486,50,2.946204
-62.481981,50,2.959952
-54.119041,50,2.972951
-64.788702,50,2.985898
-57.534423,50,3.40495
-59.435358,50,3.418289
-56.187375,50,3.431259
-51.334008,50,3.444882
-54.261372,50,3.45907
-55.276264,50,3.472479
-56.114841,50,3.485982
