timesteps,episode_return
50,-63.920168
100,-55.271234
150,-66.809456
200,-62.850277
250,-63.150983
300,-71.118618
350,-66.185284
400,-60.339893
450,-58.023031
500,-71.508485
550,-61.74707
600,-58.212045
650,-61.324986
700,-59.14003
750,-60.006037
800,-59.363995
850,-68.252438
900,-57.84521
950,-64.658839
1000,-67.796506
1050,-56.784377
1100,-59.82108
1150,-60.479388
1200,-56.961614
1250,-58.11046
1300,-61.376298
1350,-57.006327
1400,-64.387822
1450,-56.978039
1500,-54.924764
1550,-57.077717
1600,-59.926368
1650,-59.303498
1700,-53.138881
1750,-56.425528
1800,-62.198084
1850,-58.92802
1900,-63.685561
1950,-66.653602
2000,-65.038303
2050,-62.808659
2100,-58.259337
2150,-56.577379
2200,-68.205182
2250,-57.147316
2300,-53.797778
2350,-64.111194
2400,-47.292786
2450,-63.528365
2500,-53.07225
2550,-64.301421
2600,-59.371858
2650,-63.082866
2700,-58.5541
2750,-60.522053
2800,-58.444892
2850,-57.516702
2900,-59.46983
2950,-72.686542
3000,-66.403424
3050,-59.202304
3100,-53.273935
3150,-55.078289
3200,-59.218513
3250,-57.57553
3300,-58.615566
3350,-57.814913
3400,-65.672982
3450,-55.536136
3500,-63.937053
3550,-57.911899
3600,-63.137054
3650,-64.682305
3700,-59.047298
3750,-69.773859
3800,-53.125688
3850,-59.855316
3900,-65.895183
3950,-53.921262
4000,-59.75085
4050,-54.37785
4100,-63.281164
4150,-54.082828
4200,-57.221963
4250,-60.506206
4300,-64.347535
4350,-66.478138
4400,-55.896503
4450,-50.535566
4500,-62.723657
4550,-61.165957
4600,-61.088306
4650,-58.424021
4700,-59.346348
4750,-63.590683
4800,-51.543468
4850,-61.929016
4900,-59.257652
4950,-55.062249
5000,-65.6444
5050,-51.895565
5100,-62.407358
5150,-60.056422
5200,-57.908746
5250,-62.299111
5300,-53.809466
5350,-53.632828
5400,-54.092126
5450,-55.642476
5500,-57.807287
5550,-63.364735
5600,-65.261618
5650,-65.169752
5700,-64.603195
5750,-59.313458
5800,-65.263831
5850,-64.913664
5900,-57.547993
5950,-63.783486
6000,-62.481981
6050,-54.119041
6100,-64.788702
6150,-57.534423
6200,-59.435358
6250,-56.187375
6300,-51.334008
6350,-54.261372
6400,-55.276264
6450,-56.114841
6500,-59.117895
6550,-51.878573
6600,-62.356194
6650,-52.924709
6700,-51.926741
6750,-55.21135
6800,-55.159882
6850,-55.726496
6900,-67.946895
6950,-56.110539
7000,-56.189654
7050,-61.469468
7100,-52.889973
7150,-57.651087
7200,-60.603936
7250,-57.104672
7300,-53.236946
7350,-52.442672
7400,-48.991363
7450,-59.19742
7500,-54.88643
7550,-58.780915
7600,-55.728751
7650,-58.687642
7700,-53.963138
7750,-55.526961
7800,-59.677811
7850,-59.318424
7900,-53.871052
7950,-55.843407
8000,-68.301663
8050,-58.626495
8100,-63.856804
8150,-55.996373
8200,-57.547981
8250,-58.954766
8300,-56.008205
8350,-58.938004
8400,-63.301921
8450,-56.680342
8500,-59.324643
8550,-63.198639
8600,-58.803317
8650,-63.864931
8700,-62.886966
8750,-55.445494
8800,-54.145394
8850,-50.178454
8900,-50.36583
8950,-52.101561
9000,-53.839489
9050,-57.020348
9100,-55.971711
9150,-50.236948
9200,-54.917081
9250,-54.306074
9300,-62.516484
9350,-53.993657
9400,-49.014815
9450,-59.739546
9500,-59.085096
9550,-59.239999
9600,-55.865328
9650,-52.70545
9700,-51.719315
9750,-58.259665
9800,-55.622101
9850,-53.65247
9900,-56.065904
9950,-58.651818
10000,-56.19679
10050,-58.553947
10100,-50.740586
10150,-52.844197
10200,-54.89345
10250,-50.797533
10300,-53.336834
10350,-45.666968
10400,-60.582422
10450,-57.554805
10500,-43.815407
10550,-57.833684
10600,-54.829862
10650,-46.947054
10700,-53.020429
10750,-62.941753
10800,-55.512818
10850,-55.41909
10900,-54.884087
10950,-54.406079
11000,-53.49164
11050,-53.743122
11100,-64.299261
11150,-56.575852
11200,-58.941951
11250,-50.548122
11300,-56.71451
11350,-53.291239
11400,-59.869755
11450,-55.796925
11500,-61.673352
11550,-58.854527
11600,-54.294491
11650,-53.776806
11700,-51.834031
11750,-60.698141
11800,-48.250836
11850,-57.340921
11900,-54.040039
11950,-57.404864
12000,-49.965664
12050,-64.933605
12100,-57.801792
12150,-54.213828
12200,-57.465663
12250,-40.704869
12300,-58.207965
12350,-56.631325
12400,-53.762134
12450,-50.09605
12500,-49.131145
12550,-52.795051
12600,-56.910671
12650,-53.03475
12700,-49.691907
12750,-47.395748
12800,-52.51376
12850,-46.788851
12900,-48.866422
12950,-50.404427
13000,-50.806262
13050,-51.922718
13100,-55.605646
13150,-62.26121
13200,-55.053088
13250,-49.126267
13300,-50.165898
13350,-48.896754
13400,-49.853272
13450,-48.178658
13500,-61.254587
13550,-50.707822
13600,-53.044096
13650,-54.932636
13700,-51.990753
13750,-42.874004
13800,-56.583861
13850,-47.335383
13900,-51.926653
13950,-42.990724
14000,-58.714253
14050,-57.921091
14100,-60.092009
14150,-49.471782
14200,-48.853853
14250,-47.419901
14300,-59.656114
14350,-48.000583
14400,-53.186056
14450,-49.330456
14500,-48.527141
14550,-45.774152
14600,-53.425923
14650,-52.071489
14700,-52.807253
14750,-48.27915
14800,-53.486098
14850,-55.707522
14900,-50.529344
14950,-52.322169
15000,-52.67185
15050,-55.185823
15100,-51.858849
15150,-42.345592
15200,-52.987193
15250,-47.219653
15300,-56.393337
15350,-51.04834
15400,-54.814997
15450,-60.232264
15500,-50.754246
15550,-54.223543
15600,-52.9266
15650,-54.084576
15700,-54.400203
15750,-51.632493
15800,-54.583827
15850,-48.97245
15900,-41.626383
15950,-47.275929
16000,-47.502706
16050,-53.14827
16100,-58.030007
16150,-45.469479
16200,-42.701294
16250,-49.512951
16300,-51.594162
16350,-62.112896
