#{"t_start": 1777198318.5475886, "env_id": "Reacher-v4"}
r,l,t
-45.343157,50,0.350142
-42.000912,50,0.3599
-41.691195,50,0.366431
-44.982479,50,0.372056
-33.461911,50,0.377864
-40.305898,50,0.383032
-43.887768,50,0.388124
-41.57591,50,0.39396
-38.80908,50,0.399745
-43.042757,50,0.40491
-43.096875,50,0.410214
-46.611139,50,0.415389
-40.125411,50,0.420903
-50.772006,50,0.426002
-46.473387,50,0.430997
-47.80901,50,0.436007
-45.666793,50,0.44151
-40.353575,50,0.446584
-41.348685,50,0.4516
-52.222167,50,0.456561
-44.005467,50,0.511863
-47.354725,50,0.565417
-45.558341,50,0.616961
-43.830152,50,0.673845
-43.747443,50,0.73348
-41.053216,50,0.78677
-43.79254,50,0.839081
-45.453443,50,0.892227
-53.862382,50,0.944068
-47.792962,50,1.001904
-46.218047,50,1.055048
-45.049153,50,1.106344
-41.908085,50,1.169232
-39.676212,50,1.232366
-40.07116,50,1.285413
-47.642049,50,1.337484
-49.479926,50,1.390496
-46.620271,50,1.448478
-50.47035,50,1.501053
-39.502331,50,1.554634
-44.97456,50,1.617176
-41.681831,50,1.701524
-40.623264,50,1.755534
-39.374703,50,1.807733
-40.453116,50,1.868291
-38.997087,50,1.920659
-45.834561,50,1.972679
-34.307431,50,2.026791
-43.028644,50,2.1766
-44.999532,50,2.229653
-39.098709,50,2.334044
-43.847542,50,2.386905
-41.051041,50,2.444062
-52.16154,50,2.499358
-44.397235,50,2.552282
-41.927116,50,2.60316
-45.144921,50,2.670147
-47.634568,50,2.722353
-44.201186,50,2.776386
-44.184177,50,2.838743
-38.220573,50,2.897158
-44.602663,50,2.955188
-41.456484,50,3.007137
-47.433675,50,3.062748
-45.105003,50,3.129941
-49.999373,50,3.336771
-37.891743,50,3.398231
-41.072747,50,3.57266
-44.921475,50,3.627796
-43.969708,50,3.678237
-41.538024,50,3.730745
-42.952142,50,3.781195
-45.228936,50,3.852038
-41.019433,50,3.903889
-41.595894,50,3.956462
-44.205081,50,4.011791
-42.664873,50,4.0643
-43.542669,50,4.120952
-41.204075,50,4.173352
-45.324827,50,4.223795
-39.492029,50,4.336686
-35.920998,50,4.450546
-40.249666,50,4.502563
-48.635566,50,4.556265
-44.902752,50,4.609423
-41.053179,50,4.659479
-45.454315,50,4.711789
-43.361238,50,4.762843
-43.082107,50,4.825326
-41.937329,50,4.876425
-45.449344,50,4.927048
-50.195143,50,4.978434
-41.961547,50,5.029655
-47.613517,50,5.08128
-47.081331,50,5.141103
-37.709414,50,5.196696
-44.152609,50,5.257541
-47.080753,50,5.313252
-42.916966,50,5.364089
-44.629551,50,5.416157
-44.286755,50,5.468957
-42.334542,50,5.519583
-46.757932,50,5.555793
-47.272251,50,5.592998
-48.418886,50,5.648266
-42.233942,50,5.684358
-41.954989,50,5.720243
-43.12095,50,5.756038
-37.821273,50,5.7969
-52.896421,50,5.836967
-43.883042,50,5.888809
-40.60508,50,5.93964
-46.412452,50,6.009681
-40.070458,50,6.0516
