timesteps,episode_return
50,-45.343157
100,-42.000912
150,-41.691195
200,-44.982479
250,-33.461911
300,-40.305898
350,-43.887768
400,-41.57591
450,-38.80908
500,-43.042757
550,-43.096875
600,-46.611139
650,-40.125411
700,-50.772006
750,-46.473387
800,-47.80901
850,-45.666793
900,-40.353575
950,-41.348685
1000,-52.222167
1050,-44.005467
1100,-47.354725
1150,-45.558341
1200,-43.830152
1250,-43.747443
1300,-41.053216
1350,-43.79254
1400,-45.453443
1450,-53.862382
1500,-47.792962
1550,-46.218047
1600,-45.049153
1650,-41.908085
1700,-39.676212
1750,-40.07116
1800,-47.642049
1850,-49.479926
1900,-46.620271
1950,-50.47035
2000,-39.502331
2050,-44.97456
2100,-41.681831
2150,-40.623264
2200,-39.374703
2250,-40.453116
2300,-38.997087
2350,-45.834561
2400,-34.307431
2450,-43.028644
2500,-44.999532
2550,-39.098709
2600,-43.847542
2650,-41.051041
2700,-52.16154
2750,-44.397235
2800,-41.927116
2850,-45.144921
2900,-47.634568
2950,-44.201186
3000,-44.184177
3050,-38.220573
3100,-44.602663
3150,-41.456484
3200,-47.433675
3250,-45.105003
3300,-49.999373
3350,-37.891743
3400,-41.072747
3450,-44.921475
3500,-43.969708
3550,-41.538024
3600,-42.952142
3650,-45.228936
3700,-41.019433
3750,-41.595894
3800,-44.205081
3850,-42.664873
3900,-43.542669
3950,-41.204075
4000,-45.324827
4050,-39.492029
4100,-35.920998
4150,-40.249666
4200,-48.635566
4250,-44.902752
4300,-41.053179
4350,-45.454315
4400,-43.361238
4450,-43.082107
4500,-41.937329
4550,-45.449344
4600,-50.195143
4650,-41.961547
4700,-47.613517
4750,-47.081331
4800,-37.709414
4850,-44.152609
4900,-47.080753
4950,-42.916966
5000,-44.629551
5050,-44.286755
5100,-42.334542
5150,-46.757932
5200,-47.272251
5250,-48.418886
5300,-42.233942
5350,-41.954989
5400,-43.12095
5450,-37.821273
5500,-52.896421
5550,-43.883042
5600,-40.60508
5650,-46.412452
5700,-40.070458
5750,-35.514967
5800,-46.32832
5850,-48.661518
5900,-40.837618
5950,-40.566493
6000,-36.565455
6050,-36.029742
6100,-37.645935
6150,-43.878375
6200,-43.839457
6250,-40.724601
6300,-39.178866
6350,-49.688006
6400,-37.449396
6450,-45.035836
6500,-35.503502
6550,-40.333019
6600,-43.857924
6650,-36.349369
6700,-33.95417
6750,-39.481514
6800,-39.433029
6850,-36.047737
6900,-43.626952
6950,-39.497898
7000,-47.790064
7050,-33.595684
7100,-37.332396
7150,-39.762155
7200,-39.621828
7250,-38.915408
7300,-40.945134
7350,-43.262841
7400,-33.410196
7450,-42.4374
7500,-35.322543
7550,-39.40898
7600,-36.15791
7650,-38.835361
7700,-38.398109
7750,-36.110489
7800,-43.727349
7850,-41.98637
7900,-44.841508
7950,-36.179463
8000,-47.47823
8050,-33.87342
8100,-44.902138
8150,-39.679401
8200,-43.136449
8250,-38.937317
8300,-41.98072
8350,-40.173106
8400,-40.289305
8450,-43.700546
8500,-34.263652
8550,-39.720347
8600,-32.143752
8650,-39.482742
8700,-37.643911
8750,-41.062071
8800,-37.642214
8850,-36.534529
8900,-38.767433
8950,-38.810359
9000,-39.090481
9050,-38.828836
9100,-31.346378
9150,-42.304079
9200,-28.837032
9250,-27.601339
9300,-45.544463
9350,-38.842916
9400,-39.882144
9450,-26.582133
9500,-36.870664
9550,-36.716629
9600,-39.29155
9650,-39.916882
9700,-38.704776
9750,-40.187604
9800,-31.276806
9850,-31.171081
9900,-30.231558
9950,-39.79869
10000,-29.602857
10050,-32.144522
10100,-37.937573
10150,-39.074996
10200,-40.274392
10250,-33.607743
10300,-36.525596
10350,-40.59556
10400,-38.567238
10450,-32.841912
10500,-39.009449
10550,-32.966726
